auid,compound,status,output_file,source_file,source_url,aurl,catalog,species,nspecies,natoms,spacegroup_orig,spacegroup_relax,pearson_orig,pearson_relax,prototype_orig,prototype_relax,band_gap_eV,formation_enthalpy_eV_atom,aflowlib_date,aflowlib_version,error
aflow:e1ab0094909d039b,Na1S2V1,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na1S2V1__ICSD__e1ab0094909d039b.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Na1S2V1_ICSD_644993,ICSD,"Na,S,V",3,4,164,164,hP4,hP4,AB2C_hP4_164_b_d_a,AB2C_hP4_164_b_d_a,0,None,"['20140926_13:16:35_GMT-4', '20140927_01:21:50_GMT-4', '20210817_22:38:26_GMT-4']",3.2.11,
aflow:e6a0efbfdf0f414f,Er1Na1S2,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Er1Na1S2__ICSD__e6a0efbfdf0f414f.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/Er1Na1S2_ICSD_630807,ICSD,"Er,Na,S",3,4,166,166,hR4,hR4,ABC2_hR4_166_a_b_c,ABC2_hR4_166_a_b_c,2.32,None,"['20140926_01:11:52_GMT-4', '20140926_10:18:09_GMT-4', '20210818_13:18:54_GMT-4']",3.2.11,
aflow:e8dd43db05f0827d,Ge4Na8S12,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Ge4Na8S12__ICSD__e8dd43db05f0827d.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Ge1Na2S3_ICSD_23455,ICSD,"Ge,Na,S",3,24,14,14,mP24,mP24,AB2C3_mP24_14_e_2e_3e,AB2C3_mP24_14_e_2e_3e,2.4484,-0.84388,"['20150108_16:35:42_GMT-5', '20150110_06:52:04_GMT-5', '20210527_05:48:08_GMT-5']",3.2.9,
aflow:ea198758e35670cb,Na4S4,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na4S4__ICSD__ea198758e35670cb.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Na2S2_ICSD_644955,ICSD,"Na,S",2,8,194,194,hP8,hP8,AB_hP8_194_ac_f,AB_hP8_194_ac_f,1.245,-0.834433,"['20141016_03:45:07_GMT-5', '20141016_09:57:50_GMT-5', '20210526_01:02:05_GMT-5']",3.2.9,
aflow:eceefbe0f5d07d00,Na2S1,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na2S1__ICSD__eceefbe0f5d07d00.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Na2S1_ICSD_56024,ICSD,"Na,S",2,3,225,225,cF12,cF12,A2B_cF12_225_c_a,A2B_cF12_225_c_a,2.4848,-1.07541,"['20141214_03:32:03_GMT-5', '20141214_04:09:01_GMT-5', '20210707_16:53:03_GMT-5']",3.2.10,
aflow:efc1fafcd10d0d09,Na8S20,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Na8S20__ICSD__efc1fafcd10d0d09.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Na2S5_ICSD_644956,ICSD,"Na,S",2,28,62,62,oP28,oP28,A2B5_oP28_62_ac_c2d,A2B5_oP28_62_ac_c2d,1.7549,-0.499396,"['20160720_12:28:38_GMT-5', '20160721_05:17:31_GMT-5', '20210529_20:52:25_GMT-5']",3.2.9,
aflow:f4fa3476bedf20bf,Fe2Na12S8,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Fe2Na12S8__ICSD__f4fa3476bedf20bf.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Fe1Na6S4_ICSD_72303,ICSD,"Fe,Na,S",3,22,186,36,hP22,oS44,AB6C4_hP22_186_b_2c_bc,AB6C4_oC44_36_a_2a2b_2ab,1.8659,None,"['20160122_09:55:37_GMT-5', '20160123_15:17:11_GMT-5', '20210817_00:16:48_GMT-4']",3.2.11,
aflow:fac9ce02fdf1916b,In2Na10S8,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\In2Na10S8__ICSD__fac9ce02fdf1916b.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/In1Na5S4_ICSD_300175,ICSD,"In,Na,S",3,20,11,11,mP20,mP20,AB5C4_mP20_11_e_a2ef_2ef,AB5C4_mP20_11_e_a2ef_2ef,2.057,None,"['20141211_10:57:57_GMT-5', '20141212_06:04:39_GMT-5', '20210815_15:03:54_GMT-4']",3.2.11,
aflow:fb62c72f49ee8851,Co2Na12S8,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Co2Na12S8__ICSD__fb62c72f49ee8851.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/HEX/Co1Na6S4_ICSD_624260,ICSD,"Co,Na,S",3,22,186,186,hP22,hP22,AB6C4_hP22_186_b_2c_bc,AB6C4_hP22_186_b_2c_bc,2.1976,None,"['20160121_20:02:01_GMT-5', '20160122_18:35:00_GMT-5', '20210816_04:40:06_GMT-4']",3.2.11,
aflow:fbe4a97eea03e989,Hg12Na8S16,skipped_existing,E:\work\worklist\pull_file\aflow_sulfides\cif\Hg12Na8S16__ICSD__fbe4a97eea03e989.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/Hg3Na2S4_ICSD_71597,ICSD,"Hg,Na,S",3,36,61,61,oP36,oP36,A3B2C4_oP36_61_ac_c_2c,A3B2C4_oP36_61_ac_c_2c,1.331,-0.487894,"['20150107_18:43:41_GMT-5', '20150109_15:53:48_GMT-5', '20210529_16:08:24_GMT-5']",3.2.9,
