auid,compound,status,output_file,source_file,source_url,aurl,catalog,species,nspecies,natoms,spacegroup_orig,spacegroup_relax,pearson_orig,pearson_relax,prototype_orig,prototype_relax,band_gap_eV,formation_enthalpy_eV_atom,aflowlib_date,aflowlib_version,error
aflow:17efc4748f614fb1,As1F6Na1,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\As1F6Na1__ICSD__17efc4748f614fb1.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/As1F6Na1_ICSD_184565,ICSD,"As,F,Na",3,8,225,225,cF32,cF32,AB6C_cF32_225_a_e_b,AB6C_cF32_225_a_e_b,4.9314,-2.39478,"['20141014_15:04:36_GMT-5', '20141014_19:20:37_GMT-5', '20210522_17:26:54_GMT-5']",3.2.9,
aflow:182f848dd10cc403,Cl1Na1,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Cl1Na1__ICSD__182f848dd10cc403.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl1Na1_ICSD_181148,ICSD,"Cl,Na",2,2,225,225,cF8,cF8,AB_cF8_225_b_a,AB_cF8_225_b_a,5.0564,-1.83902,"['20140924_19:42:10_GMT-5', '20140924_20:53:41_GMT-5', '20210523_03:02:33_GMT-5']",3.2.9,
aflow:186c151ef89c59b5,As1F6Na1,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\As1F6Na1__ICSD__186c151ef89c59b5.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/As1F6Na1_ICSD_184564,ICSD,"As,F,Na",3,8,225,225,cF32,cF32,AB6C_cF32_225_a_e_b,AB6C_cF32_225_a_e_b,4.9175,-2.39445,"['20141014_12:35:10_GMT-5', '20141014_17:19:41_GMT-5', '20210707_12:55:08_GMT-5']",3.2.10,
aflow:186ca83186359be5,F2H1Na1,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\F2H1Na1__ICSD__186ca83186359be5.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/F2H1Na1_ICSD_250328,ICSD,"F,H,Na",3,4,166,166,hR4,hR4,A2BC_hR4_166_c_b_a,A2BC_hR4_166_c_b_a,6.8417,-2.27761,"['20140927_04:44:55_GMT-5', '20140927_07:05:49_GMT-5', '20210531_23:15:24_GMT-5']",3.2.9,
aflow:18ebb85b07a92f89,Cl1Na1,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Cl1Na1__ICSD__18ebb85b07a92f89.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl1Na1_ICSD_41439,ICSD,"Cl,Na",2,2,225,225,cF8,cF8,AB_cF8_225_b_a,AB_cF8_225_b_a,5.0561,-1.83905,"['20140612_19:46:04_GMT-5', '20140612_21:12:23_GMT-5', '20210523_03:04:34_GMT-5']",3.2.9,
aflow:195c58c4274631a9,N14Na2P8,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\N14Na2P8__ICSD__195c58c4274631a9.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCLC/N7Na1P4_ICSD_410629,ICSD,"N,Na,P",3,24,15,15,mS48,mS48,A7BC4_mC48_15_e3f_e_2f,A7BC4_mC48_15_e3f_e_2f,4.2091,-0.502078,"['20160312_14:38:18_GMT-5', '20160313_17:20:22_GMT-4', '20210902_16:43:11_GMT-4']",3.2.11,
aflow:19637441ae4f3d47,C8N6Na2,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\C8N6Na2__ICSD__19637441ae4f3d47.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/C4N3Na1_ICSD_31926,ICSD,"C,N,Na",3,16,2,2,aP16,aP16,A4B3C_aP16_2_4i_3i_i,A4B3C_aP16_2_4i_3i_i,3.5477,0.12329,"['20130427_22:55:10_GMT-4', '20130428_06:27:42_GMT-4', '20210831_06:11:34_GMT-4']",3.2.11,
aflow:1a09f0c491342e68,N3Na1,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\N3Na1__ICSD__1a09f0c491342e68.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/N3Na1_ICSD_28897,ICSD,"N,Na",2,4,166,166,hR4,hR4,A3B_hR4_166_bc_a,A3B_hR4_166_bc_a,4.0101,-0.119654,"['20140804_04:22:12_GMT-4', '20140804_06:12:30_GMT-4', '20210830_17:15:03_GMT-4']",3.2.11,
aflow:1cc91f097f4ab0b8,B4Na12O32P8,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\B4Na12O32P8__ICSD__1cc91f097f4ab0b8.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/TRI/B1Na3O8P2_ICSD_416727,ICSD,"B,Na,O,P",4,56,15,15,mS112,mS112,AB3C8D2_mC112_15_f_2e2f_8f_2f,AB3C8D2_mC112_15_f_2e2f_8f_2f,5.1733,-2.3204,"['20180723_23:43:46_GMT-4', '20180725_04:27:40_GMT-4', '20210831_02:37:06_GMT-4']",3.2.11,
aflow:1cd71114972d46dd,Cl1Na1,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Cl1Na1__ICSD__1cd71114972d46dd.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cl1Na1_ICSD_52233,ICSD,"Cl,Na",2,2,225,225,cF8,cF8,AB_cF8_225_b_a,AB_cF8_225_b_a,5.0394,-1.8395,"['20140924_21:49:45_GMT-5', '20140924_22:49:53_GMT-5', '20210523_03:04:49_GMT-5']",3.2.9,
aflow:1d4a58ebefd48b3c,C4H4N8Na4,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\C4H4N8Na4__ICSD__1d4a58ebefd48b3c.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/ORC/C1H1N2Na1_ICSD_2495,ICSD,"C,H,N,Na",4,20,57,57,oP20,oP20,ABC2D_oP20_57_d_d_2d_c,ABC2D_oP20_57_d_d_2d_c,4.0384,-0.294858,"['20150104_15:10:36_GMT-5', '20150105_04:41:05_GMT-5', '20210901_21:39:26_GMT-4']",3.2.11,
aflow:1ed96631d1846438,As4Na12S12,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\As4Na12S12__ICSD__1ed96631d1846438.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/CUB/As1Na3S3_ICSD_1036,ICSD,"As,Na,S",3,28,198,198,cP28,cP28,AB3C3_cP28_198_a_3a_b,AB3C3_cP28_198_a_3a_b,2.5147,-0.858353,"['20140619_06:47:59_GMT-5', '20140619_13:00:13_GMT-5', '20210708_06:02:21_GMT-5']",3.2.10,
aflow:1f87c6a20f791f58,F2H1Na1,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\F2H1Na1__ICSD__1f87c6a20f791f58.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/RHL/F2H1Na1_ICSD_415006,ICSD,"F,H,Na",3,4,166,166,hR4,hR4,A2BC_hR4_166_c_b_a,A2BC_hR4_166_c_b_a,6.8417,-2.27761,"['20140926_13:18:52_GMT-5', '20140926_20:46:39_GMT-5', '20210531_23:16:03_GMT-5']",3.2.9,
aflow:1f9964f8d7bf4c57,Na8O28Si12,skipped_existing,E:\work\worklist\pull_file\aflow\aflow_cif\cif\Na8O28Si12__ICSD__1f9964f8d7bf4c57.cif,,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/MCL/Na2O7Si3_ICSD_95690,ICSD,"Na,O,Si",3,48,14,14,mP48,mP48,A2B7C3_mP48_14_2e_7e_3e,A2B7C3_mP48_14_2e_7e_3e,4.3128,-2.59439,"['20180415_17:19:30_GMT-5', '20180417_01:05:54_GMT-5', '20210619_04:28:20_GMT-5']",3.2.9,
